iter	RMSE
0	1297.099245
1	1208.899423
2	1124.414293
3	1047.248464
4	981.0435013
5	922.2391277
6	870.5835897
7	825.0956536
8	784.0665641
9	747.5919542
10	714.0210354
11	686.4383981
12	661.0448037
13	638.7849442
14	619.5589605
15	601.4361968
16	584.7959672
17	570.5571019
18	558.9593685
19	548.8956436
20	539.3924894
21	531.6789948
22	524.1760601
23	517.4198744
24	509.8425589
25	505.0136421
26	499.7574722
27	495.5145707
28	491.0584893
29	487.0197883
30	484.3467574
31	482.0968618
32	477.9118901
33	475.3244579
34	472.9387367
35	469.5988989
36	467.5310921
37	464.4525104
38	462.2199726
39	459.9389832
40	457.8040981
41	455.8558066
42	453.8093412
43	451.9207556
44	450.5419157
45	448.2316878
46	446.2595451
47	444.1350021
48	441.7766655
49	440.5108977
50	439.5754054
51	437.9510648
52	436.5342839
53	434.6314252
54	432.818188
55	430.9385948
56	429.949907
57	428.6216964
58	427.6387199
59	427.152721
60	425.5482243
61	424.4289859
62	423.3771992
63	422.1105949
64	421.2251069
65	419.705389
66	418.3436272
67	417.4572243
68	415.7261548
69	414.0666068
70	412.5337594
71	411.5709893
72	410.6553695
73	409.4527021
74	408.3629434
75	406.8902249
76	406.1385304
77	405.0393167
78	404.0080372
79	402.9375819
80	401.746967
81	400.13851
82	399.5273747
83	398.5999155
84	397.2971627
85	395.6997153
86	394.0729002
87	392.7196008
88	391.3220991
89	389.8750002
90	388.7132337
91	387.2478539
92	386.2811309
93	385.378638
94	384.4917967
95	383.5611168
96	383.1257132
97	381.9825895
98	381.3981346
99	380.5196613
100	378.7134059
101	377.1224956
102	375.6315337
103	375.0702205
104	373.2525697
105	372.6042994
106	371.2354282
107	370.027286
108	369.2538667
109	368.4996476
110	367.3711212
111	366.8282816
112	366.223981
113	364.8602671
114	363.9676864
115	362.3115987
116	361.0089833
117	360.0783287
118	359.2086449
119	358.2536685
120	357.2667261
121	356.0059415
122	355.1568552
123	354.2216566
124	353.6669389
125	352.5319787
126	351.2456933
127	349.8756439
128	349.2669053
129	347.8270061
130	346.2351649
131	345.9003311
132	345.5277439
133	344.1885483
134	343.3460509
135	341.829997
136	340.7636844
137	340.0003872
138	338.7797554
139	337.963846
140	336.3743781
141	335.694598
142	334.9149279
143	334.6159149
144	333.439409
145	332.9475934
146	331.9817115
147	330.7058501
148	330.0077566
149	329.6874401
150	328.6394182
151	327.8081932
152	326.712517
153	325.2817353
154	324.9839242
155	324.1621459
156	323.0026942
157	321.8722844
158	320.5850463
159	320.11495
160	319.4843452
161	318.736183
162	317.6429838
163	316.5957434
164	316.0649476
165	314.4648302
166	313.9010989
167	313.1463633
168	312.0990079
169	311.0421327
170	310.5891968
171	309.8211921
172	308.7086969
173	307.8782361
174	306.8629761
175	306.0526683
176	305.1405283
177	304.493236
178	303.6988396
179	303.2907176
180	302.5027003
181	301.8257517
182	301.4292728
183	300.7322724
184	299.9648486
185	299.2047585
186	298.5354832
187	297.9529865
188	297.561895
189	296.7679076
190	296.2593077
191	295.6453812
192	294.951682
193	294.415399
194	293.894241
195	293.3658409
196	292.9980716
197	292.1867928
198	291.5523757
199	290.5905316
200	289.5267567
201	289.2820947
202	288.3304869
203	287.3915524
204	286.7386772
205	286.3079641
206	285.1989444
207	284.8210773
208	284.1836451
209	283.0863091
210	282.6657809
211	281.597419
212	280.9986727
213	280.5109499
214	279.9250171
215	279.3244692
216	278.8054997
217	278.5250234
218	278.1253954
219	277.835815
220	277.0677789
221	276.3650627
222	275.8807325
223	275.5365259
224	275.1703836
225	274.8226779
226	274.4230913
227	274.157223
228	273.5914916
229	273.3067133
230	272.6603341
231	272.0374733
232	271.3695859
