iter	Passed	Remaining
0	335	334991
1	641	320070
2	912	303088
3	1154	28747344	1348	26827255	1554	257465
6	1739	246778
7	1906	236423
8	2079	228921
9	2282	226000
10	2484	223352
11	2721	224039
12	2946	223722
13	3264	229937
14	3530	231866
15	3733	229587
16	3923	226845
17	4135	225602
18	4372	225745
19	4567	223800
20	4776	222655
21	4962	220624
22	5224	221913
23	5470	222460
24	5699	222282
25	5865	219738
26	6055	218211
27	6235	216466
28	6446	215858
29	6639	214680
30	6839	213796
31	7019	212342
32	7158	209758
33	7344	208663
34	7536	207785
35	7736	207164
36	7903	205691
37	8122	205618
38	8298	204480
39	8534	204831
40	8689	203246
41	8864	202195
42	9056	201552
43	9227	200480
44	9424	200011
45	9594	198989
46	9832	199367
47	10015	198637
48	10264	199209
49	10430	198185
50	10593	197125
51	10802	196930
52	10985	196281
53	11162	195554
54	11356	195121
55	11542	194578
56	11768	194690
57	11953	194144
58	12114	193222
59	12307	192812
60	12500	192426
61	12725	192527
62	12929	192295
63	13131	192053
64	13313	191507
65	13513	191229
66	13668	190337
67	13857	189928
68	14046	189525
69	14259	189451
70	14443	188988
71	14639	188682
72	14839	188446
73	15014	187889
74	15193	187383
75	15332	186413
76	15475	185501
77	15664	185158
78	15859	184891
79	16093	185072
80	16290	184829
81	16454	184215
82	16647	183922
83	16843	183674
84	17022	183239
85	17221	183032
86	17431	182931
87	17622	182631
88	17834	182551
89	18035	182355
90	18171	181514
91	18392	181525
92	18588	181290
93	18767	180885
94	18965	180669
95	19187	180684
96	19402	180622
97	19586	180273
98	19745	179703
99	19947	179527
100	20106	178963
101	20259	178360
102	20422	177850
103	20584	177339
104	20792	177233
105	21000	177119
106	21198	176915
107	21378	176569
108	21605	176607
109	21800	176385
110	21996	176172
111	22187	175917
112	22413	175932
113	22611	175732
114	22843	175793
115	23024	175463
116	23214	175196
117	23416	175031
118	23647	175068
119	23864	175007
120	24032	174584
121	24218	174291
122	24436	174234
123	24612	173876
124	24826	173782
125	24999	173405
126	25170	173021
127	25419	173171
128	25622	173002
129	25753	172350
130	25944	172103
131	26148	171946
132	26289	171377
133	26477	171115
134	26704	171104
135	26910	170963
136	27097	170694
137	27292	170478
138	27472	170168
