iter	RMSE
0	188.2045343
1	174.4316743
2	161.6614753
3	150.7709075
4	140.7672326
5	131.6939289
6	123.763537
7	117.2077403
8	111.0138517
9	105.7085649
10	100.8712464
11	96.69769993
12	93.11679336
13	89.91028038
14	87.20847881
15	84.72110377
16	82.54913332
17	80.77995211
18	79.3503757
19	78.0626888
20	76.93067906
21	75.95780332
22	75.18595051
23	74.43508604
24	73.73398587
25	73.15924548
26	72.61165053
27	72.17815118
28	71.7585591
29	71.45289732
30	71.16222964
31	70.89792022
32	70.64989343
33	70.4077412
34	70.20342905
35	69.96655921
36	69.77997358
37	69.57517687
38	69.40829695
39	69.22300444
40	69.10790748
41	68.93925961
42	68.80274838
43	68.68840912
44	68.56696085
45	68.43627707
46	68.29151384
47	68.15868749
48	68.03516858
49	67.93070688
50	67.83483404
51	67.77373292
52	67.64268253
53	67.54498295
54	67.46992786
55	67.35790343
56	67.24447066
57	67.15113872
58	67.02407398
59	66.93137014
60	66.83358068
61	66.75810317
62	66.69932982
63	66.56407114
64	66.47174535
65	66.39969368
66	66.29353722
67	66.17215235
68	66.08058363
69	65.98003899
