iter	Passed	Remaining
0	146	25471
1	153	13264
2	161	9242
3	169	7248
4	177	6019
5	184	5194
6	192	4625
7	200	4183
8	208	3842
9	216	3566
10	224	3342
11	232	3164
12	239	2988
13	247	2841
14	253	2704
15	261	2597
16	267	2484
17	273	2385
18	280	2299
19	287	2226
20	294	2156
21	301	2094
22	308	2039
23	315	1985
24	322	1933
25	361	2072
26	369	2027
27	378	1984
28	388	1953
29	397	1921
30	406	1887
31	416	1859
32	425	1831
33	435	1804
34	444	1776
35	452	1748
36	461	1719
37	470	1694
38	479	1672
39	488	1647
40	497	1625
41	506	1602
42	514	1578
43	521	1554
44	531	1534
45	540	1516
46	550	1499
47	559	1481
48	566	1456
49	574	1435
50	581	1413
51	589	1395
52	598	1378
53	606	1359
54	614	1340
55	624	1327
56	634	1312
57	642	1295
58	650	1279
59	658	1261
60	666	1246
61	676	1232
62	684	1216
63	693	1201
64	702	1189
65	710	1173
66	717	1157
67	728	1146
68	738	1134
69	747	1120
70	755	1106
71	763	1091
72	772	1079
73	780	1064
74	789	1052
75	797	1038
76	808	1028
77	817	1016
78	826	1004
79	835	992
80	844	980
81	853	968
82	863	956
83	871	944
84	879	931
85	887	918
86	895	905
87	903	892
88	910	879
89	919	868
90	928	856
91	935	844
92	944	832
93	953	821
94	963	811
95	971	799
96	979	787
97	988	776
98	996	764
99	1005	754
100	1016	744
101	1023	732
102	1032	721
103	1039	709
104	1048	698
105	1056	687
106	1064	676
107	1073	666
108	1084	656
109	1092	645
110	1102	635
111	1111	624
112	1117	613
113	1125	602
114	1135	592
115	1144	582
116	1154	572
117	1162	561
118	1171	551
119	1180	540
120	1188	530
121	1196	519
122	1206	509
123	1215	499
124	1224	489
125	1232	479
126	1240	468
127	1251	459
128	1259	449
129	1267	438
130	1275	428
131	1283	418
132	1291	407
133	1299	397
134	1307	387
135	1316	377
136	1325	367
137	1334	357
138	1342	347
139	1349	337
140	1358	327
141	1366	317
142	1372	307
143	1380	297
144	1388	287
145	1397	277
146	1405	267
147	1414	257
148	1422	248
149	1430	238
150	1437	228
151	1445	218
152	1452	208
153	1461	199
154	1467	189
155	1473	179
156	1479	169
157	1486	159
158	1495	150
159	1502	140
160	1509	131
161	1515	121
162	1522	112
163	1528	102
164	1535	93
165	1542	83
166	1550	74
167	1557	64
168	1562	55
169	1569	46
170	1574	36
171	1577	27
172	1580	18
173	1584	9
174	1589	0
