iter	RMSE
0	1277.48222611	1181.61250922	1102.63934833	1027.889016
4	962.10387
5	906.3737477
6	856.9297747
7	812.0557239
8	773.8564581
9	741.2080006
10	712.3698707
11	688.1585741
12	667.6270785
13	649.4633799
14	633.7141243
15	621.0727048
16	610.0828998117	600.5739366118	548.2875375119	541.5467418
20	534.9081028
21	529.2202281
22	524.4575615
23	520.3908794
24	516.4553602
25	512.9720316
26	510.304327	550.3354079
28	548.048127
29	546.0987961
30	544.1890121
31	531	498.566732	541.1159587
33	533	495.130034	34	493.7232385
35	492.1353792
36	490.5894764
37	489.4714046
38	488.5894613
39	487.6169019
40	486.4497646
41	485.2746009
42	484.2190728
43	483.4884629
44	482.4609515
45	481.7217847
46	480.9322907
47	480.3726873
48	479.4324848
49	478.4526901
50	477.5020654
51	476.932139
52	476.1625317
53	475.2291012
54	474.7599938
55	474.0465753
56	473.5785077
57	473.0991647
58	472.3565292
59	471.8043258
60	471.1625063
61	470.4333256
62	470.1743574
63	469.6719468
64	469.1564098
65	468.782334
66	468.1182861
67	467.7455395
68	466.8442079
69	465.970	470	70	465.271	71	571	464.772	72	72	464.1873	469.5149912
74	469.1050017
75	468.5675447
76	468.0674339
77	467.48318
78	466.7423665
79	466.4064642
80	465.842139
81	465.4857433
82	464.9680988
83	464.5010351
84	464.2171963
85	463.85	45786	463.3386	457.2541969
87	45688	462.4188	45689	461.8289	45590	461.490	455.91	461.91	454.992	460.92	454.4030617
93	453.9578046
94	453.5796662
95	453.2644245
96	452.8732767
97	452.4944124
98	452.1449535
99	451.6802669
100	451.3842136
101	450.9366904
102	450.6730697
103	450.019335
104	449.7388132
105	449.3140493
106	448.9977038
107	448.622542
108	448.2464732
109	447.6559503
110	447.2923121
111	446.8042781
112	446.472494
113	445.8311812
114	445.311319
115	444.9208074
116	444.5986943
117	444.1004741
118	443.7290176
119	443.2162321
120	442.8994113
121	442.6379858
122	442.2960006
123	442.1036922
124	441.8064256
125	441.4169904
126	440.9169604
127	440.4835019
128	440.1710408
129	439.7897023
130	439.4146467
131	439.1264061
132	438.7740528
133	438.3659191
134	437.8859661
135	437.2673864
136	436.8840239
137	436.5850928
138	435.9173073
139	435.5720166
140	435.3174234
141	435.004904
142	434.8026644
143	434.3392206
144	434.0414768
145	433.8838351
146	433.3938035
147	433.1395197
148	432.6126109
149	432.1531927
150	431.5575337
151	431.3674244
152	430.8970647
153	430.5834454
154	430.3070154
155	429.8428797
156	429.6168931
157	429.2770506
158	428.9977526
159	428.51967
160	428.0205586
161	427.6889604
162	427.6151354
163	427.3826844
164	426.9259839
165	426.476243
166	426.1124183
167	425.6985939
168	425.3209208
169	425.0626336
170	424.9940279
171	424.6039423
172	424.312136
173	424.0253801
174	423.5827588
9124333
