iter	Passed	Remaining
0	4	733
1	11	985
2	16	964
3	22	978
4	27	929
5	32	908
6	36	877
7	43	915
8	48	889
9	52	866
10	58	865
11	62	844
12	65	821
13	70	806
14	75	808
15	82	817
16	86	805
17	90	792
18	95	784
19	102	795
19	127	987
20	131	960
21	135	939
22	141	931
23	146	920
24	150	901
25	154	883
27	149	782
28	153	773
29	157	763
30	161	751
31	165	740
32	172	741
33	177	736
34	194	776
34	215	861
35	224	866
36	231	862
37	238	861
38	248	864
39	256	864
40	260	849
41	263	834
42	267	819
43	273	814
44	278	804
45	282	793
46	289	788
47	294	779
48	297	765
49	301	754
50	305	743
51	309	733
52	314	724
53	322	723
54	327	714
55	331	703
56	338	701
57	345	696
58	350	689
59	355	681
60	359	672
61	363	663
62	367	654
63	372	645
64	376	637
65	380	628
66	384	619
67	388	611
68	392	603
70	384	563
71	389	557
72	393	549
73	73	411	561
74	416	555
75	420	547
76	424	540
77	429	534
78	434	528
79	438	520
80	442	513
81	447	507
82	451	500
83	455	493
84	459	486
85	462	485	86	466	486	480	485
87	88	476	488	89	480	489	90	483	490	91	488	491	92	492	492	508	448
93	512	441
94	518	436
95	524	431
96	527	424
97	532	418
98	539	414
99	546	409
100	554	406
101	558	399
102	562	393
103	576	393
104	590	393
105	596	388
106	601	381
107	605	375
108	610	369
109	615	363
110	620	357
111	624	351
112	628	345
113	634	339
114	638	333
115	644	327
116	649	321
117	654	316
118	659	310
119	664	304
120	669	298
121	673	292
122	678	286
123	683	281
124	687	274
125	692	269
126	698	264
127	703	258
128	707	252
129	713	246
130	716	240
131	720	234
132	724	228
133	731	223
134	735	218
135	741	212
136	746	206
137	749	201
138	754	195
139	761	190
140	765	184
141	769	178
142	772	172
143	779	167
144	783	162
145	786	156
146	794	151
147	798	145
148	803	140
149	807	134
150	812	129
151	816	123
152	820	118
153	825	112
154	831	107
155	837	102
156	844	96
157	848	91
158	856	86
159	862	80
160	868	75
161	874	70
162	879	64
163	885	59
164	889	53
165	894	48
166	899	43
167	904	37
168	911	32
169	915	26
170	917	21
171	919	16
172	921	10
173	923	5
174	926	0
